corpus;match_position;left context;match;right_context;Kodning;text_gender;corpus_id;text_nationality;text_illustrations;text_subtitle;text_publisher;text_id;text_pseudonym;text_pages;text_source;text_surname;text_file_id;text_year;text_typeface;text_volume;text_price;text_title;text_firstname
MeMo corpus v. 0.5;56694696;Jeg anede ikke , hvordan jeg skulde faa mit Brev bragt til Dig , men jeg stolede paa , at;Skjæbnen;vilde være mig gunstig og give mig et eller andet Middel dertil . Det gjorde den ogsaa — men desværre;0;m;MEMO_ALL;dk;n;Manøverhistorie;Jydsk Forlags-forretning;1897_Roth_MedLoesePatroner;Kandarius;294;KB;Roth;130022043685;1897;roman;;3,75;Med løse Patroner;Nicolai Henrik
MeMo corpus v. 0.5;53613987;der berettigede denne til at være Soldat , saalænge det lystede ham . Han var ikke langt fra at bebrejde;Skæbnen;, der havde sat ham som eneste Barn paa Gaarden derhjemme og derved hindret ham i at følge den Vej;0;m;MEMO_ALL;dk;n;En Fortælling;Rom;1896_Lander_PaaEfteraarsmanoevre;Johannes Oderwald;230;KB;Lander;130024224822;1896;roman;;1,5;Paa Efteraarsmanøvre;Johannes Nicolai Heinrich
MeMo corpus v. 0.5;3187861;, af der , hvor Sammenstyrfningen var skeet , nogensinde havde ligget ef Bjerg . Det er den menneskelige Storheds;Skjæbne;. Et Vidnesbyrd om at det er blevet til ved en ordnende Haand , ikke af egen Kraft . Og;0;m;MEMO_ALL;dk;n;Original historisk Roman;E. Meyers;1871_MeyerE_EnHofhistorieIDanmark;;594;KB;Meyer;130024100910;1871;gothic;;1,5;En Hofhistorie i Danmark;Eduard
MeMo corpus v. 0.5;42970659;for fire Aar siden havde set i Aanden , men foreløbig havde han kun ringe Glæde af dem . Hans;Skæbne;"havde været haard . Den utaknemmelige Greve havde givet ham til Pris ; han , hans Søn Bent og flere";0;m;MEMO_ALL;dk;n;Historisk Roman fra Grevefejdens Tid;Erslev;1892_EwaldHF_ClaraBille;;440;KB;Ewald;130023414776;1892;roman;;5,5;Clara Bille;H.F.
MeMo corpus v. 0.5;3657039;"var truffet sammen med dem og at de netop vare saaledes ; thi havde de været anderledes og sristet andre";Skjæbner;, saa vilde de neppe saa villigt have fundet sig i at blive villieløse Værktøier i hanS Haand . Da;0;;MEMO_ALL;;n;En paa virkelig Sandhed grundet Fortælling;Strandberg;1872_Anonym_SkurkensBedrifterOgHansEndeligt;[anonym];355;KB;;130024227554;1872;gothic;;1;Skurkens Bedrifter og hans Endeligt;
MeMo corpus v. 0.5;7541561;", medens han gav hende de ømmeste Navne . — O , Volmer , hvidskede hun neppe hørligt ; vor";Skjæbne;"er haard ; thi — vi maae skilles ! — Nei , Tovelille , nei aldrig ! — Saaledes bør";0;;MEMO_ALL;;n;Original historisk Roman;C.G. Birch;1874_Nordrup_KongValdemarOgTovelille;;1021;KB;Nordrup;130024221688;1874;gothic;;6,4;Kong Valdemar og Tovelille;Carl
MeMo corpus v. 0.5;61364144;ombord paa Damperen uforvarende at lade os blive delagtige i enkelte af hendes Toilettes smaa Hemmeligheder ? Hvilken Hensigt havde;Skæbnen;med i Nattens Mulm og Mørke at lade Bos og mig — ikke havende det paa Kroppen , hvormed vi;0;m;MEMO_ALL;dk;n;Fortælling;Jydsk Forlags-forretning;1899_Hornbeck_TomBosOgJeg;Søren Torp;194;KB;Hornbeck;130024221262;1899;roman;;2,5;Tom, Bos og jeg;Vagn Ludvig Eduard
;;;;;;;;;;;;;;;;;;;;;;;
"## CQP query: [word = "".*s.*æbne.?.?"" %c]";;;;;;;;;;;;;;;;;;;;;;;
## context: 1 sentence;;;;;;;;;;;;;;;;;;;;;;;
## within: sentence;;;;;;;;;;;;;;;;;;;;;;;
## sorting: random;;;;;;;;;;;;;;;;;;;;;;;
## start: 25;;;;;;;;;;;;;;;;;;;;;;;
## end: 49;;;;;;;;;;;;;;;;;;;;;;;
"## Total hits: 7<span rel=""localize[util_numbergroupseparator]"">&nbsp;</span>196";;;;;;;;;;;;;;;;;;;;;;;
