corpus;match_position;left context;match;right_context;Kodning;text_gender;corpus_id;text_nationality;text_illustrations;text_subtitle;text_publisher;text_id;text_pseudonym;text_pages;text_source;text_surname;text_file_id;text_year;text_typeface;text_volume;text_price;text_title;text_firstname
MeMo corpus v. 0.5;16631923;. Napoleon var hans , — som Alles — Helt og med stor Interesse havde han fulgt denne Mands vidunderlige;Skjæbne;fra hans Udnævnelse til Prokonsnl til hans Udnævnelse til Keiser og indtil hans Udjagelse af Frankrig . Nu var Napoleon;0;m;MEMO_ALL;dk;y;Original biografisk Roman med Portræter;Carl Lund;1877_SoerensenC_FolketsSoen;Carl Hermann;592;KB;Sørensen;115704009006;1877;gothic;;;Folkets Søn;Carl
MeMo corpus v. 0.5;16462939;Femte Kapitel . En Opdagelse . Da Felix af det brusende Vandfald med Lynets Fart blev slynget frem , vilde;Skæbnen;, at han med vild Kraft blev kastet ind i et Vildnis , der ligesom af Nysgjerrighed havde stillet sig;0;;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1877_RygaardHa_PerlefiskerensSoen_1;;650;KB;Rygaard;130024033938;1877;gothic;1;4;Perlefiskerens Søn;Harald
MeMo corpus v. 0.5;31737163;dem . Ingen lagde sig imellem til Fordeel for den Ene eller Anden . Skoven var et stille Vidne .;Skæbnen;skulde opfyldes . Saaledes havde Maattemanden sagt , og det lod til at hans skæbnesvangre Ord skulde gaae i Opfyldelse;0;m;MEMO_ALL;dk;n;Original Fortælling;Th. Ørfeldt;1885_Ridderhjelm_ForstoedtEllerArmodOgRigdom;;831;KB;Ridderhjelm;130024222544;1885;gothic;;na;Forstødt eller Armod og Rigdom;Carl
MeMo corpus v. 0.5;52406433;bildt Dig ind , at Du dermed havde gjort din Pligt mod Barnet og senere ikke bekymret Dig om dets;Skæbne;. Men Du var uforsigtig den Gang , Du havde alligevel for megen Moderkærlighed til helt at kunne fornægte dit;1;m;MEMO_ALL;dk;y;Roman;R. Andersen;1896_AndersenT_DronningensMoelle;Bent Lange;595;KB;Andersen;130021372766;1896;roman;;;Dronningens Mølle;Theodor
MeMo corpus v. 0.5;46730858;hun ikke sorn en Tilfældighed , men som et Led i den guddommelige Plan , der var lagt for deres;Skjæbne;. Hans sidste Ord : « Jeg vilde ønske , jeg havde Deres Tro ! » klang for hendes Øren;0;f;MEMO_ALL;no;n;Roman;Prior;1893_Schoeyen_EtLoefte;;251;KB;Schøyen;130024223826;1893;roman;;3,25;Et Løfte;Elisabeth
MeMo corpus v. 0.5;943405;over Hovedet alligevel , hvis det falder , og saa synes jeg , det er bedre , at vi dele;Skæbne;med hinanden herinde i godt Selskab . “ „ Det er et forfærdeligt Guds Veir , “ bemærkede jeg ,;0;m;MEMO_ALL;dk;n;En Fortælling;Chr. Steen & Søn;1870_Friis_MoedetPaaLaesoe;;164;KB;Friis;130024100058;1870;gothic;;1,85;Mødet paa Læsø;J.J.F.
MeMo corpus v. 0.5;15409372;ere stillede saaledes , at vi ikke aabent kunne yde ham den , ere vore Ønsker da magtesløse overfor hans;Skæbne;, eller kunne de i Lighed med Katholikernes Bønner maaske dog have nogen Indflydelse paa den ? “ Gisle formaaede;0;m;MEMO_ALL;dk;n;Fortælling i to Dele;Gyldendal;1877_HansenJH_EnFriMand;;648;KB;Hansen;130023647967;1877;roman;;7;En fri Mand;Johan Holm
MeMo corpus v. 0.5;498336;uden al han knnde forstaae hende , eller stode hende bor ! . „ Te ! er nu engang min;Skjæbne;, at jeg skal elske denne Mand , “ mumlede hun , „ men ligesaamege ! som jeg hader og;0;;MEMO_ALL;;n;Original Roman;B. Diederichsen;1870_Anonym_TestamentforfalskningenEllerBetlerskenFraChristianshavn_2;[anonym];470;KB;;130023292425;1870;gothic;2;;Testamentforfalskningen eller Betlersken fra Christianshavn;
MeMo corpus v. 0.5;55345600;følgende Dag kunde ikke med sit pragtfuldeste Efteraarsveir lokke mig ud af min Bolig , da jeg frygtede for at;Skjæbnen;igjen skulde spille mig et Puds . Jeg modtog da ogsaa virkelig — et Visitkort med » hjertelig Tal ?;0;m;MEMO_ALL;dk;y;En graphologisk Studie;Schubothe;1897_Gjellerup_Konvolutten;;127;KB;Gjellerup;130024105165;1897;roman;;2,5;Konvolutten;Karl
MeMo corpus v. 0.5;10905242;betroede mig . Vogt paa hende og ham ! Din Moder Beate Bilde . “ Ende paa tredie Del .;Skjæbnens;Veie , original fædrelandshistorisk Skildring fra det 16de Aarhundrede . med Portræter . Af Carl Hermann . Fjerde Del .;0;m;MEMO_ALL;dk;y;Original-fædrelands-historisk Skildring fra det 16de Aarhundrede, med Portræter;Carl Lund;1875_SoerensenC_SkjaebnensVeie;Carl Hermann;776;KB;Sørensen;115704008981;1875;gothic;;2;Skjæbnens Veie;Carl
MeMo corpus v. 0.5;59533649;Ella maatte blive fri . Det stod fast . Derfor altsaa traf han hende ikke -- -- -- -- --;-Skæbnen;— — vilde det ikke . Hans Moder havde altid givet Skæbnen et andet Navn , men — ja ,;0;f;MEMO_ALL;dk;n;;Schubothe;1898_Schjoerring_TilLykkensLand;;266;KB;Schjørring;130024225195;1898;roman;;4;Til Lykkens Land;Johanne
MeMo corpus v. 0.5;41333257;kom og saa Nannas lidende Tilstand , følte sig selv stærkt berørt deraf . — Ser Du hvad min onde;Skjæbne;har udrettet — begyndte Antonio . Jeg troede af kunne byde Pigen en bedre Tilværelse , og nu er jeg;0;m;MEMO_ALL;dk;n;Folke-Roman;Th. Ørfeldt;1891_Adolphus_AntonioEllerBjergenesKonge;;830;KB;Adolphus;115708021541;1891;gothic;;na;Antonio eller Bjergenes Konge;C.H.
;;;;;;;;;;;;;;;;;;;;;;;
"## CQP query: [word = "".*s.*æbne.?.?"" %c]";;;;;;;;;;;;;;;;;;;;;;;
## context: 1 sentence;;;;;;;;;;;;;;;;;;;;;;;
## within: sentence;;;;;;;;;;;;;;;;;;;;;;;
## sorting: random;;;;;;;;;;;;;;;;;;;;;;;
## start: 0;;;;;;;;;;;;;;;;;;;;;;;
## end: 24;;;;;;;;;;;;;;;;;;;;;;;
"## Total hits: 7<span rel=""localize[util_numbergroupseparator]"">&nbsp;</span>196";;;;;;;;;;;;;;;;;;;;;;;
