corpus;match_position;left context;match;right_context;Kodning;text_gender;corpus_id;text_nationality;text_illustrations;text_subtitle;text_publisher;text_id;text_pseudonym;text_pages;text_source;text_surname;text_file_id;text_year;text_typeface;text_volume;text_price;text_title;text_firstname
MeMo corpus v. 0.5;9282286;en haard Forsyndelse imod Dig , som jeg havde at udsone , og dog hvad var det vel imod den;Skjæbne;, som mit Letsind skulde drage ned over Dig . Og Erindringen om dette sfak jeg endnu genkalde mig .;0;;MEMO_ALL;;n;Original Nutidsroman;P. Olsen;1875_Hjelm_KoebenhavnskZigeunerliv;Robert Hjelm;878;KB;;130023292581;1875;gothic;1;16;Københavnsk Zigeunerliv;
MeMo corpus v. 0.5;22941107;et Geni , noget du kunde være stolt af . “ Margherita flog Øiet ned . „ Og nu har;Skjæbnen;givet dig — “ han standsede og saa med et trist Smil nedover sin elegante , duftende Skikkelse , „;0;m;MEMO_ALL;no;n;Fortælling;Schou;1880_Paulsen_Margherita;;319;KB;Paulsen;130024104665;1880;gothic;;4;Margherita;John
MeMo corpus v. 0.5;41721111;at jeg har stor Uro i mit Sind og bliver næppe rolig , før jeg harerfaret noget om vor Faders;Skjæbne;". “ „ Du vil ikke kunne erfare noget af mig derom ; thi næppe var han stegen i Land";0;m;MEMO_ALL;dk;n;Fortælling fra Svend Estridsøns Tid;A. Andersen;1891_Gioerup_Hildur;;312;KB;Giørup;130023487560;1891;gothic;;2;Hildur;Michael
MeMo corpus v. 0.5;50028993;nei — det er bestemt af forsynet , at det skal gå galt med alle os søskende ! Ingen lykkelig;skjæbne;kan nogen få , der er udgået fra så fælt et hjem . En forbandelse er heftet til dem alle;1;m;MEMO_ALL;no;n;Fortælling;Gyldendal;1895_Finne_Rachel;;154;KB;Finne;130024100414;1895;roman;;2;Rachel;Gabriel
MeMo corpus v. 0.5;53636319;rejste sig fra Bænken , hvor de havde taget Plads , føjede hun blot til : » Ingen kender sin;Skæbne;. « » Ja , det er et sandt Ord , « bekræftede Proprietæren tankefuld . Han havde nylig opdaget;0;m;MEMO_ALL;dk;n;En Fortælling;Rom;1896_Lander_PaaEfteraarsmanoevre;Johannes Oderwald;230;KB;Lander;130024224822;1896;roman;;1,5;Paa Efteraarsmanøvre;Johannes Nicolai Heinrich
MeMo corpus v. 0.5;27491233;ham paa Spør efter , hvad hans kjære Ven Pønsede paa . Det skulde blive Franks Ulykke , at hans;Skjæbne;saa at sige var knyttet til dette Menneske , især fordi Forholdet mellem dem grundede sig paa List og Rænker;1;m;MEMO_ALL;dk;y;;Mackeprang;1883_Brosboell_Krybskytten;Carit Etlar;491;KB;Brosbøll;130021272044;1883;gothic;;4,5;Krybskytten;Carl 
MeMo corpus v. 0.5;32454542;op under sit stribede Skjørt , „ Mennesker , hører ! Nærmer Eder Alle , som ønsker at læse i;Skæbnens;"Bog og vide Eders Lod her i Livet ; jeg sfal aabenbare Eder det , thi jeg har studeret ^Egypternes";0;m;MEMO_ALL;dk;n;Original Roman;P. Olsen;1886_HelmsJB_JackTurnbullEllerNegeropstanden;Willy;255;KB;Helms;130024100589;1886;gothic;;na;Jack Turnbull eller Negeropstanden;Jakob Bang
MeMo corpus v. 0.5;22823674;Kvælertrop . „ Naa endelig ! “ raabte Manden ved Palmetræerne dem imøde „ jeg troede af jeg skulde have;Skjæbnen;mod mig og vare taget forgjæves over Floden . “ „ Vi komme lige fra Aschinta , vor Suthu !;0;m;MEMO_ALL;dk;n;Historisk Roman;Jordan;1880_MoellerL_DenSkotskeKapitainEllerSepoybruden;Louis de Moulin;736;KB;Møller;130024034306;1880;gothic;;3,68;Den skotske Kapitain eller Sepoybruden;Louis
MeMo corpus v. 0.5;10782478;er ^uadskillelig fra din Beslutning , idet nemlig jdin Slægt vil slaa Haanden af Dig og overlade Dig til din;Vanskjæbne;, efter at Du saa aabenbart har trodset dens Beslutninger og Befalinger . Endnu idag forlader jeg Wittenberg , for;0;m;MEMO_ALL;dk;y;Original-fædrelands-historisk Skildring fra det 16de Aarhundrede, med Portræter;Carl Lund;1875_SoerensenC_SkjaebnensVeie;Carl Hermann;776;KB;Sørensen;115704008981;1875;gothic;;2;Skjæbnens Veie;Carl
MeMo corpus v. 0.5;25554194;umiddelbart op til dette . Dersom disse Vægge knnde tale , vilde man høre skrækkelige Ting om de Ulykkeliges sørgelige;Skæbne;og tragiske Endeligt som her til sine Tider i stor Mængde bringes hen , for tilsidst at blive sønderflængede af;0;;MEMO_ALL;;n;Historisk Roman;Simonsen & Co.;1882_EK_SelvherskerenIDetSkjulteRigeEllerNihilisterneIRusland;E.K.;758;KB;;130024228496;1882;gothic;;5;Selvherskeren i det skjulte Rige eller Nihilisterne i Rusland;
MeMo corpus v. 0.5;4121885;strax ved min Hjemkomst , og efterat jeg havde sikkret mig min Fremtid , tillige forhørt mig om Marie Birks;Skjæbne;. Hun har vel ikke taget fig det saa nær , da bun , skjøndt hun engang har givet Snedker;0;;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1872_LeFevre_DianaEllerHaabloesKjaerlighed;;380;KB;le Fevre;130024100880;1872;gothic;;;Diana eller Haabløs Kjærlighed;P. B.
MeMo corpus v. 0.5;51990586;virked blot oprivende at se nogen derudefra . Der var intet andet at gjøre end at overlade hende til sin;skjæbne;. Hvorlænge hun vilde kunne holde ud , vidste hun ikke . Sin undergang gik hun naturligvis imøde , enten;0;f;MEMO_ALL;no;n;;Gyldendal;1895_SkramA_PaaSctJoergen;;228;KB;Skram;130016798666;1895;roman;;3;På Sct. Jørgen;Amalie
MeMo corpus v. 0.5;59492433;F Men Livet havde taget for brutalt paa ham til af Fortidens Minder formaaede af lægæ de Saar , som;Skjæbnen;havde bibragt ham . Der var et Sekund , i hvilket han følte den inderligste Lyst til af omfavne denne;0;m;MEMO_ALL;dk;y;Historisk, romantisk Skildring fra Christian den Andens Tid;Carl Lund;1898_RygaardHo_Kongesvaerdet;;877;KB;Rygaard;115704008887;1898;gothic;;5,5;Kongesværdet;Holger
MeMo corpus v. 0.5;12245229;Læber ? Kan Du besvare mine Følelser , og har Dustaämegen Tillid til mig , at Du vil lægge din;Skæbne;"i min Haand ? Ingeborg slog -Øinene ned og taug ; hun kæmpede aabenbart med sine Følelser . — O";1;m;MEMO_ALL;;n;Original romantisk Fortælling;A. Behrend;1876_Borring_FaergemandensDatter_1;;588;KB;Borring;130024031897;1876;gothic;1;4;Færgemandens Datter;Emil
MeMo corpus v. 0.5;2358274;, som jeg har skildret Dig i mine tidligere Breve . Nu sad hun , den Ældste , den som;Skjæbnen;tidligst burde have bortrykket , ene tilbage , og høit fra Norden , fra dette hende saa ubekjendte , men;0;m;MEMO_ALL;dk;n;Breve fra Gennazzano;Gyldendal;1871_Bergsoee_ISabinerbjergene_2;;465;KB;Bergsøe;130024104126;1871;gothic;2;7,5;I Sabinerbjergene;Vilhelm
;;;;;;;;;;;;;;;;;;;;;;;
"## CQP query: [word = "".*s.*æbne.?.?"" %c]";;;;;;;;;;;;;;;;;;;;;;;
## context: 1 sentence;;;;;;;;;;;;;;;;;;;;;;;
## within: sentence;;;;;;;;;;;;;;;;;;;;;;;
## sorting: random;;;;;;;;;;;;;;;;;;;;;;;
## start: 50;;;;;;;;;;;;;;;;;;;;;;;
## end: 74;;;;;;;;;;;;;;;;;;;;;;;
"## Total hits: 7<span rel=""localize[util_numbergroupseparator]"">&nbsp;</span>196";;;;;;;;;;;;;;;;;;;;;;;
